CODE2,CODE1,CODEBASE,AREA_SUM,L01_SUM,L0101,L0102,L0103,L0104,L02_SUM,L0201,L0202,L0203,L0204,L0205,L0206,L0207,L03_SUM,L0301,L0302,L0303,L0304,L0305,L0306,L04_SUM,L0401,L0402,L0403,L0404,L0405,L0406,L05_SUM,L0501,L0502,L0503,L0504,L0505,L0506,L0507,L0508,L06_SUM,L0601,L0602,L0603,L0604,L0605,L0606,L07_SUM,L0701,L0702,L0703,L08_SUM,L0801,L0802,L0803,L09_SUM,L0901,L0902,L0903,L0904,L0905,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,土地面積總數,農業利用土地總數,農作使用,水產養殖,畜牧,農業相關設施,森林利用土地總數,針葉林,闊葉林,竹林,混淆林,灌木林,待成林地,其他森林利用土地,交通利用土地總數,機場,一般鐵路及相關設施,高速鐵路及相關設施,捷運及相關設施,道路及相關設施,港口,水利利用土地總數,河道及溝渠,蓄水設施,水道沙洲灘地,水利構造物,防汛道路,海面,建築利用土地總數,商業,純住宅,混合使用住宅,製造業,倉儲,宗教,殯葬設施,其他建築用地,公共利用土地總數,政府機關,學校,醫療保健,社會福利設施,公用設備,環保設施,遊憩利用土地總數,文化設施,公園綠地廣場,休閒設施,鹽礦利用土地總數,礦業及相關設施,土石及相關設施,鹽業及相關設施,其他利用土地總數,溼地,草生地,裸露地,營建剩餘土石收容處理相關設施,空置地,資料時間
A1008-01,A1008-01-006,A1008-0006-00,15118.275,4789.601,4789.601,,,,,,,,,,,,1489.424,,,,,1489.424,,,,,,,,,5056.784,372.096,1415.185,550.767,1310.29,903.474,,,504.972,,,,,,,,,,,,,,,,3782.466,,,,,3782.466,"111Y"
A1008-01,A1008-01-005,A1008-0007-00,170278.637,105092.259,100294.575,,2142.184,2655.5,467.402,,467.402,,,,,,15953.869,,,,,15953.869,,6497.471,718.974,2091.674,,6.249,3680.574,,28698.437,1069.99,20109.929,97.334,,4890.697,555.057,,1975.43,1420.406,,,,1420.406,,,,,,,,,,,12148.793,,,,,12148.793,"111Y"
A1008-01,A1008-01-006,A1008-0008-00,39607.887,19178.474,19178.474,,,,,,,,,,,,3024.096,,,,,3024.096,,3095.601,557.334,,,,2538.267,,9917.904,347.642,7567.084,1166.777,,797.155,,,39.246,,,,,,,,,,,,,,,,4391.812,,,,,4391.812,"111Y"
A1008-01,A1008-01-007,A1008-0009-00,21313.007,3423.818,3423.818,,,,,,,,,,,,3620.4,,,,,3620.4,,1564.759,443.272,,,,1121.487,,12487.371,,7122.836,1122.869,285.25,865.376,2346.151,,744.889,,,,,,,,,,,,,,,,216.659,,,,,216.659,"111Y"
A1008-01,A1008-01-008,A1008-0010-00,89266.851,55711,55275.808,,,435.192,2006.247,,2006.247,,,,,,,,,,,,,3671.256,2679.36,673.776,,,318.12,,16080.772,2706.027,9459.166,82.09,1179.072,1373.487,,,1280.93,10278.453,,10278.453,,,,,,,,,,,,,1519.123,,,,,1519.123,"111Y"
A1008-01,A1008-01-010,A1008-0011-00,166287.159,144134.441,142510.054,,,1624.387,1171.841,,1171.841,,,,,,2241.259,,,,,2241.259,,2258.224,2258.224,,,,,,15718.79,1156.399,13258.803,,,673.205,51.772,,578.611,,,,,,,,10.521,,10.521,,,,,,752.083,,,,,752.083,"111Y"
A1008-01,A1008-01-009,A1008-0012-00,82064.119,10177.358,10177.358,,,,12828.38,,12828.38,,,,,,8334.746,,,,,8334.746,,823.776,823.776,,,,,,32041.833,1452.928,7657.249,79.61,16944.887,40.891,2131.139,,3735.129,,,,,,,,,,,,,,,,17858.026,,,,,17858.026,"111Y"
A1008-03,A1008-03-001,A1008-0013-00,531241.745,279668.336,278941.926,,,726.41,94026.183,,94026.183,,,,,,4175.024,,,,,4175.024,,105135.385,65889.422,861.59,784.138,25557.217,12043.018,,46.874,,,,,,,,46.874,36.736,,,,,36.736,,,,,,,,,,48153.207,,39581.664,,,8571.543,"111Y"
A1008-01,A1008-01-012,A1008-0014-00,40252.587,15035.743,11605.301,,,3430.442,,,,,,,,,2232.164,,,,,2232.164,,,,,,,,,16084.354,497.768,10883.859,663.042,580.806,3253.564,205.315,,,,,,,,,,,,,,,,,,6900.326,,,,,6900.326,"111Y"
A1008-01,A1008-01-014,A1008-0015-00,77407.132,57543.402,54072.153,,,3471.249,3438.756,,3438.756,,,,,,742.184,,,,,742.184,,2061.84,2061.84,,,,,,12521.086,420.812,9691.658,611.828,513.869,910.834,372.085,,,,,,,,,,259.815,,259.815,,,,,,840.049,,,,,840.049,"111Y"
